#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
51,DRAW,DRAW,63,34,0.1,0.41,0.41,0.1,0.49
52,WIN,LOSS,58,79,0.12,0.4,0.4,0.12,0.48
53,LOSS,WIN,68,37,0.11,0.42,0.42,0.11,0.47
54,DRAW,DRAW,41,26,0.11,0.41,0.41,0.11,0.48
55,DRAW,DRAW,67,29,0.11,0.4,0.4,0.11,0.49
56,LOSS,WIN,28,78,0.11,0.41,0.41,0.11,0.48
57,LOSS,WIN,35,46,0.11,0.42,0.42,0.11,0.47
58,DRAW,DRAW,59,19,0.1,0.41,0.41,0.1,0.48
59,LOSS,WIN,54,12,0.1,0.42,0.42,0.1,0.47
60,LOSS,WIN,69,16,0.1,0.43,0.43,0.1,0.47
61,LOSS,WIN,42,74,0.1,0.44,0.44,0.1,0.46
62,DRAW,DRAW,67,80,0.1,0.44,0.44,0.1,0.47
63,LOSS,WIN,38,43,0.1,0.44,0.44,0.1,0.46
64,LOSS,WIN,49,21,0.09,0.45,0.45,0.09,0.45
65,LOSS,WIN,74,51,0.09,0.46,0.46,0.09,0.45
66,LOSS,WIN,23,47,0.09,0.47,0.47,0.09,0.44
67,LOSS,WIN,30,46,0.09,0.48,0.48,0.09,0.43
68,DRAW,DRAW,36,58,0.09,0.47,0.47,0.09,0.44
69,DRAW,DRAW,77,69,0.09,0.46,0.46,0.09,0.45
70,DRAW,DRAW,36,12,0.09,0.46,0.46,0.09,0.46
71,DRAW,DRAW,33,27,0.08,0.45,0.45,0.08,0.46
72,LOSS,WIN,68,17,0.08,0.46,0.46,0.08,0.46
73,LOSS,WIN,47,61,0.08,0.47,0.47,0.08,0.45
74,WIN,LOSS,52,35,0.09,0.46,0.46,0.09,0.45
75,LOSS,WIN,65,71,0.09,0.47,0.47,0.09,0.44
76,DRAW,DRAW,33,23,0.09,0.46,0.46,0.09,0.45
77,LOSS,WIN,69,55,0.09,0.47,0.47,0.09,0.44
78,DRAW,DRAW,78,58,0.09,0.46,0.46,0.09,0.45
79,DRAW,DRAW,21,73,0.09,0.46,0.46,0.09,0.46
80,LOSS,WIN,33,52,0.09,0.46,0.46,0.09,0.45
81,WIN,LOSS,66,14,0.1,0.46,0.46,0.1,0.44
82,LOSS,WIN,80,27,0.1,0.46,0.46,0.1,0.44
83,DRAW,DRAW,25,79,0.1,0.46,0.46,0.1,0.45
84,DRAW,DRAW,46,22,0.1,0.45,0.45,0.1,0.45
85,LOSS,WIN,56,15,0.09,0.46,0.46,0.09,0.45
86,DRAW,DRAW,56,37,0.09,0.45,0.45,0.09,0.45
87,DRAW,DRAW,25,24,0.09,0.45,0.45,0.09,0.46
88,DRAW,DRAW,58,43,0.09,0.44,0.44,0.09,0.47
89,LOSS,WIN,31,17,0.09,0.45,0.45,0.09,0.46
90,DRAW,DRAW,78,38,0.09,0.44,0.44,0.09,0.47
91,DRAW,DRAW,77,62,0.09,0.44,0.44,0.09,0.47
92,LOSS,WIN,66,14,0.09,0.45,0.45,0.09,0.47
93,LOSS,WIN,57,65,0.09,0.45,0.45,0.09,0.46
94,LOSS,WIN,30,39,0.09,0.46,0.46,0.09,0.46
95,LOSS,WIN,20,19,0.08,0.46,0.46,0.08,0.45
96,LOSS,WIN,42,59,0.08,0.47,0.47,0.08,0.45
97,LOSS,WIN,42,63,0.08,0.47,0.47,0.08,0.44
98,LOSS,WIN,35,68,0.08,0.48,0.48,0.08,0.44
99,DRAW,DRAW,56,37,0.08,0.47,0.47,0.08,0.44
100,LOSS,WIN,49,65,0.08,0.48,0.48,0.08,0.44
101,DRAW,DRAW,78,27,0.08,0.48,0.48,0.08,0.45
102,DRAW,DRAW,74,25,0.08,0.47,0.47,0.08,0.45
103,LOSS,WIN,67,40,0.08,0.48,0.48,0.08,0.45
104,DRAW,DRAW,21,71,0.08,0.47,0.47,0.08,0.45
105,LOSS,WIN,39,47,0.08,0.48,0.48,0.08,0.45
106,LOSS,WIN,23,67,0.08,0.48,0.48,0.08,0.44
107,DRAW,DRAW,28,71,0.07,0.48,0.48,0.07,0.45
